TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE,FTARATE,PTSOFF TO,2NDPTS,FBPS,PITP,2PM,2PA,2P%,TEAM OPP,MATCH UP OPP,W/L OPP,MIN OPP,PTS OPP,FGM OPP,FGA OPP,FG% OPP,3PM OPP,3PA OPP,3P% OPP,FTM OPP,FTA OPP,FT% OPP,OREB OPP,DREB OPP,REB OPP,AST OPP,TOV OPP,STL OPP,BLK OPP,PF OPP,+/- OPP,OFFRTG OPP,DEFRTG OPP,NETRTG OPP,AST% OPP,AST/TO OPP,ASTRATIO OPP,OREB% OPP,DREB% OPP,REB% OPP,TOV% OPP,EFG% OPP,TS% OPP,PACE OPP,PIE OPP,FTARATE OPP,PTSOFF TO OPP,2NDPTS OPP,FBPS OPP,PITP OPP,2PM OPP,2PA OPP,2P% OPP
GSW,GSW @ CHI,01/15/2023,L,48,118,41,83,49.4,21,51,41.2,15,22,68.2,7,33,40,35,23,6,4,22,-14,110.3,123.4,-13.1,85.4,1.52,23.2,21.7,78.7,50.5,21.5,62.0,63.7,107.0,44.3,0.265,19,9,25,34,20,32,62.5,CHI,CHI vs. GSW,W,48,132,48,95,50.5,15,39,38.5,21,24,87.5,7,31,38,29,10,12,1,18,14,123.4,110.3,13.1,60.4,2.9,19.9,21.3,78.3,49.5,9.3,58.4,62.5,107.0,55.7,0.253,31,14,18,56,33,56,58.9
LAC,LAC vs. HOU,01/15/2023,W,48,121,46,88,52.3,14,32,43.8,15,21,71.4,11,33,44,21,17,13,6,16,21,118.6,98.0,20.6,45.7,1.24,15.4,28.9,74.0,52.6,16.7,60.2,62.2,102.0,59.7,0.239,20,13,7,62,32,56,57.1,HOU,HOU @ LAC,L,48,100,38,84,45.2,7,31,22.6,17,23,73.9,10,29,39,22,20,8,6,17,-21,98.0,118.6,-20.6,57.9,1.1,16.1,26.0,71.1,47.4,19.6,49.4,53.1,102.0,40.3,0.274,18,11,15,62,31,53,58.5
NYK,NYK @ DET,01/15/2023,W,48,117,40,88,45.5,12,30,40.0,25,31,80.6,18,34,52,17,8,3,6,12,13,127.2,111.8,15.3,42.5,2.13,13.3,37.3,77.1,56.6,8.7,52.3,57.6,92.5,56.6,0.352,13,20,6,44,28,58,48.3,DET,DET vs. NYK,L,48,104,37,83,44.6,18,44,40.9,12,15,80.0,9,29,38,23,12,4,4,22,-13,111.8,127.2,-15.3,62.2,1.92,18.1,22.9,62.7,43.4,12.9,55.4,58.0,92.5,43.4,0.181,10,18,5,32,19,39,48.7
ORL,ORL @ DEN,01/15/2023,L,48,116,41,84,48.8,7,29,24.1,27,34,79.4,10,29,39,24,13,7,2,17,-3,116.0,119.0,-3.0,58.5,1.85,17.4,31.1,66.7,48.9,13.0,53.0,58.6,100.0,48.0,0.405,18,14,15,60,34,55,61.8,DEN,DEN vs. ORL,W,48,119,48,89,53.9,13,39,33.3,10,19,52.6,12,29,41,32,16,10,5,22,3,119.0,116.0,3.0,66.7,2.0,21.8,33.3,68.9,51.1,16.0,61.2,61.1,100.0,52.0,0.213,19,17,22,56,35,50,70.0
IND,IND vs. MEM,01/14/2023,L,48,112,38,103,36.9,11,47,23.4,25,28,89.3,16,33,49,26,20,5,8,20,-18,100.0,116.1,-16.1,68.4,1.3,16.0,36.9,81.0,54.2,17.9,42.2,48.6,112.0,37.0,0.272,17,25,13,46,27,56,48.2,MEM,MEM @ IND,W,48,130,48,87,55.2,12,32,37.5,22,28,78.6,7,38,45,32,16,11,8,21,18,116.1,100.0,16.1,66.7,2.0,21.2,19.0,63.1,45.8,14.3,62.1,65.4,112.0,63.0,0.322,13,4,38,70,36,55,65.5
MEM,MEM @ IND,01/14/2023,W,48,130,48,87,55.2,12,32,37.5,22,28,78.6,7,38,45,32,16,11,8,21,18,116.1,100.0,16.1,66.7,2.0,21.2,19.0,63.1,45.8,14.3,62.1,65.4,112.0,63.0,0.322,13,4,38,70,36,55,65.5,IND,IND vs. MEM,L,48,112,38,103,36.9,11,47,23.4,25,28,89.3,16,33,49,26,20,5,8,20,-18,100.0,116.1,-16.1,68.4,1.3,16.0,36.9,81.0,54.2,17.9,42.2,48.6,112.0,37.0,0.272,17,25,13,46,27,56,48.2
CHA,CHA vs. BOS,01/14/2023,L,48,106,41,88,46.6,8,27,29.6,16,19,84.2,10,36,46,21,11,2,2,11,-16,110.4,127.1,-16.7,51.2,1.91,16.4,23.4,71.7,49.0,11.5,51.1,55.0,96.0,43.0,0.216,5,13,5,60,33,61,54.1,BOS,BOS @ CHA,W,48,122,47,99,47.5,19,53,35.8,9,10,90.0,14,32,46,35,7,8,4,15,16,127.1,110.4,16.7,74.5,5.0,24.0,28.3,76.6,51.0,7.3,57.1,59.0,96.0,57.0,0.101,15,15,17,48,28,46,60.9
ATL,ATL @ TOR,01/14/2023,W,48,114,43,84,51.2,11,27,40.7,17,18,94.4,5,35,40,19,12,6,4,22,11,116.3,104.0,12.3,44.2,1.58,15.3,16.7,66.0,44.2,12.2,57.7,62.0,98.5,56.2,0.214,21,9,12,40,32,57,56.1,TOR,TOR vs. ATL,L,48,103,36,87,41.4,7,29,24.1,24,30,80.0,11,32,43,19,14,9,3,19,-11,104.0,116.3,-12.3,52.8,1.36,14.0,34.0,83.3,55.8,14.1,45.4,51.4,98.5,43.8,0.345,12,18,17,56,29,58,50.0
BOS,BOS @ CHA,01/14/2023,W,48,122,47,99,47.5,19,53,35.8,9,10,90.0,14,32,46,35,7,8,4,15,16,127.1,110.4,16.7,74.5,5.0,24.0,28.3,76.6,51.0,7.3,57.1,59.0,96.0,57.0,0.101,15,15,17,48,28,46,60.9,CHA,CHA vs. BOS,L,48,106,41,88,46.6,8,27,29.6,16,19,84.2,10,36,46,21,11,2,2,11,-16,110.4,127.1,-16.7,51.2,1.91,16.4,23.4,71.7,49.0,11.5,51.1,55.0,96.0,43.0,0.216,5,13,5,60,33,61,54.1
MIL,MIL @ MIA,01/14/2023,L,48,95,34,84,40.5,19,48,39.6,8,12,66.7,7,25,32,26,10,7,2,13,-16,104.4,122.0,-17.6,76.5,2.6,20.3,21.6,67.4,42.6,11.0,51.8,53.2,91.0,41.4,0.143,10,4,6,26,15,36,41.7,MIA,MIA vs. MIL,W,48,111,45,87,51.7,11,22,50.0,10,12,83.3,13,38,51,17,11,9,3,14,16,122.0,104.4,17.6,37.8,1.55,13.9,32.6,78.4,57.4,12.1,58.0,60.1,91.0,58.6,0.138,12,17,5,54,34,65,52.3
